"id","kebijakan_id","program_id","kegiatan_id","cost_type_id","code","name"
"mak82","1","1.02","1.02.07","2","650.1.1.02.07.2","Dana praktikum/Honor/Upah"
"mak83","1","1.02","1.02.07","3","650.1.1.02.07.3","Dana praktikum/Sewa"
"mak84","1","1.02","1.02.07","4","650.1.1.02.07.4","Dana praktikum/Outsourcing"
"mak85","1","1.02","1.02.07","5","650.1.1.02.07.5","Dana praktikum/Overhead"
"mak86","1","1.03","1.03.01","1","650.1.1.03.01.1","Ketersediaan rancangan praktikum/Bahan habis pakai"
"mak87","1","1.03","1.03.01","2","650.1.1.03.01.2","Ketersediaan rancangan praktikum/Honor/Upah"
"mak88","1","1.03","1.03.01","3","650.1.1.03.01.3","Ketersediaan rancangan praktikum/Sewa"
"mak89","1","1.03","1.03.01","4","650.1.1.03.01.4","Ketersediaan rancangan praktikum/Outsourcing"
"mak90","1","1.03","1.03.01","5","650.1.1.03.01.5","Ketersediaan rancangan praktikum/Overhead"
"mak91","1","1.03","1.03.02","1","650.1.1.03.02.1","Jadual praktikum/Bahan habis pakai"
"mak92","1","1.03","1.03.02","2","650.1.1.03.02.2","Jadual praktikum/Honor/Upah"
"mak93","1","1.03","1.03.02","3","650.1.1.03.02.3","Jadual praktikum/Sewa"
"mak94","1","1.03","1.03.02","4","650.1.1.03.02.4","Jadual praktikum/Outsourcing"
"mak95","1","1.03","1.03.02","5","650.1.1.03.02.5","Jadual praktikum/Overhead"
"mak96","1","1.03","1.03.03","1","650.1.1.03.03.1","Modul/alat praktikum/Bahan habis pakai"
"mak97","1","1.03","1.03.03","2","650.1.1.03.03.2","Modul/alat praktikum/Honor/Upah"
"mak98","1","1.03","1.03.03","3","650.1.1.03.03.3","Modul/alat praktikum/Sewa"
"mak99","1","1.03","1.03.03","4","650.1.1.03.03.4","Modul/alat praktikum/Outsourcing"
"mak100","1","1.03","1.03.03","5","650.1.1.03.03.5","Modul/alat praktikum/Overhead"
"mak101","1","1.03","1.03.04","1","650.1.1.03.04.1","Bahan habis pakai/Bahan habis pakai"
"mak102","1","1.03","1.03.04","2","650.1.1.03.04.2","Bahan habis pakai/Honor/Upah"
"mak103","1","1.03","1.03.04","3","650.1.1.03.04.3","Bahan habis pakai/Sewa"
"mak104","1","1.03","1.03.04","4","650.1.1.03.04.4","Bahan habis pakai/Outsourcing"
"mak105","1","1.03","1.03.04","5","650.1.1.03.04.5","Bahan habis pakai/Overhead"
"mak106","1","1.03","1.03.05","1","650.1.1.03.05.1","Dana praktikum/Bahan habis pakai"
"mak107","1","1.03","1.03.05","2","650.1.1.03.05.2","Dana praktikum/Honor/Upah"
"mak108","1","1.03","1.03.05","3","650.1.1.03.05.3","Dana praktikum/Sewa"
"mak109","1","1.03","1.03.05","4","650.1.1.03.05.4","Dana praktikum/Outsourcing"
"mak110","1","1.03","1.03.05","5","650.1.1.03.05.5","Dana praktikum/Overhead"
"mak111","1","1.03","1.03.06","1","650.1.1.03.06.1","Daftar peserta praktikum/Bahan habis pakai"
"mak112","1","1.03","1.03.06","2","650.1.1.03.06.2","Daftar peserta praktikum/Honor/Upah"
"mak113","1","1.03","1.03.06","3","650.1.1.03.06.3","Daftar peserta praktikum/Sewa"
"mak114","1","1.03","1.03.06","4","650.1.1.03.06.4","Daftar peserta praktikum/Outsourcing"
"mak115","1","1.03","1.03.06","5","650.1.1.03.06.5","Daftar peserta praktikum/Overhead"
"mak116","1","1.03","1.03.07","1","650.1.1.03.07.1","Asisten/instruktur/Bahan habis pakai"
"mak117","1","1.03","1.03.07","2","650.1.1.03.07.2","Asisten/instruktur/Honor/Upah"
"mak118","1","1.03","1.03.07","3","650.1.1.03.07.3","Asisten/instruktur/Sewa"
"mak119","1","1.03","1.03.07","4","650.1.1.03.07.4","Asisten/instruktur/Outsourcing"
"mak120","1","1.03","1.03.07","5","650.1.1.03.07.5","Asisten/instruktur/Overhead"
"mak121","1","1.03","1.03.08","1","650.1.1.03.08.1","Penugasan asisten/instruktur/Bahan habis pakai"
"mak122","1","1.03","1.03.08","2","650.1.1.03.08.2","Penugasan asisten/instruktur/Honor/Upah"
"mak123","1","1.03","1.03.08","3","650.1.1.03.08.3","Penugasan asisten/instruktur/Sewa"
"mak124","1","1.03","1.03.08","4","650.1.1.03.08.4","Penugasan asisten/instruktur/Outsourcing"
"mak125","1","1.03","1.03.08","5","650.1.1.03.08.5","Penugasan asisten/instruktur/Overhead"
"mak126","1","1.03","1.03.09","1","650.1.1.03.09.1","Nilai akhir praktikum/Bahan habis pakai"
"mak127","1","1.03","1.03.09","2","650.1.1.03.09.2","Nilai akhir praktikum/Honor/Upah"
"mak128","1","1.03","1.03.09","3","650.1.1.03.09.3","Nilai akhir praktikum/Sewa"
"mak129","1","1.03","1.03.09","4","650.1.1.03.09.4","Nilai akhir praktikum/Outsourcing"
"mak130","1","1.03","1.03.09","5","650.1.1.03.09.5","Nilai akhir praktikum/Overhead"
"mak131","1","1.04","1.04.01","1","650.1.1.04.01.1","Jumlah kehadiran dosen/Bahan habis pakai"
"mak132","1","1.04","1.04.01","2","650.1.1.04.01.2","Jumlah kehadiran dosen/Honor/Upah"
"mak133","1","1.04","1.04.01","3","650.1.1.04.01.3","Jumlah kehadiran dosen/Sewa"
"mak134","1","1.04","1.04.01","4","650.1.1.04.01.4","Jumlah kehadiran dosen/Outsourcing"
"mak135","1","1.04","1.04.01","5","650.1.1.04.01.5","Jumlah kehadiran dosen/Overhead"
"mak136","1","1.04","1.04.02","1","650.1.1.04.02.1","Presensi mhs/Bahan habis pakai"
"mak137","1","1.04","1.04.02","2","650.1.1.04.02.2","Presensi mhs/Honor/Upah"
"mak138","1","1.04","1.04.02","3","650.1.1.04.02.3","Presensi mhs/Sewa"
"mak139","1","1.04","1.04.02","4","650.1.1.04.02.4","Presensi mhs/Outsourcing"
"mak140","1","1.04","1.04.02","5","650.1.1.04.02.5","Presensi mhs/Overhead"
"mak141","1","1.04","1.04.03","1","650.1.1.04.03.1","Mahasiswa pindahan/melanjutkan/Bahan habis pakai"
"mak142","1","1.04","1.04.03","2","650.1.1.04.03.2","Mahasiswa pindahan/melanjutkan/Honor/Upah"
"mak143","1","1.04","1.04.03","3","650.1.1.04.03.3","Mahasiswa pindahan/melanjutkan/Sewa"
"mak144","1","1.04","1.04.03","4","650.1.1.04.03.4","Mahasiswa pindahan/melanjutkan/Outsourcing"
"mak145","1","1.04","1.04.03","5","650.1.1.04.03.5","Mahasiswa pindahan/melanjutkan/Overhead"
"mak146","1","1.05","1.05.01","1","650.1.1.05.01.1","Jumlah kehadiran asisten/instruktur/Bahan habis pakai"
"mak147","1","1.05","1.05.01","2","650.1.1.05.01.2","Jumlah kehadiran asisten/instruktur/Honor/Upah"
"mak148","1","1.05","1.05.01","3","650.1.1.05.01.3","Jumlah kehadiran asisten/instruktur/Sewa"
"mak149","1","1.05","1.05.01","4","650.1.1.05.01.4","Jumlah kehadiran asisten/instruktur/Outsourcing"
"mak150","1","1.05","1.05.01","5","650.1.1.05.01.5","Jumlah kehadiran asisten/instruktur/Overhead"
"mak151","1","1.05","1.05.02","1","650.1.1.05.02.1","Presensi mhs peserta praktikum/Bahan habis pakai"
"mak152","1","1.05","1.05.02","2","650.1.1.05.02.2","Presensi mhs peserta praktikum/Honor/Upah"
"mak153","1","1.05","1.05.02","3","650.1.1.05.02.3","Presensi mhs peserta praktikum/Sewa"
"mak154","1","1.05","1.05.02","4","650.1.1.05.02.4","Presensi mhs peserta praktikum/Outsourcing"
"mak155","1","1.05","1.05.02","5","650.1.1.05.02.5","Presensi mhs peserta praktikum/Overhead"
"mak156","1","1.06","1.06.01","1","650.1.1.06.01.1","Tersediaan sarana & prasarana ujian/Bahan habis pakai"
"mak157","1","1.06","1.06.01","2","650.1.1.06.01.2","Tersediaan sarana & prasarana ujian/Honor/Upah"
"mak158","1","1.06","1.06.01","3","650.1.1.06.01.3","Tersediaan sarana & prasarana ujian/Sewa"
"mak159","1","1.06","1.06.01","4","650.1.1.06.01.4","Tersediaan sarana & prasarana ujian/Outsourcing"
"mak160","1","1.06","1.06.01","5","650.1.1.06.01.5","Tersediaan sarana & prasarana ujian/Overhead"
"mak161","1","1.06","1.06.02","1","650.1.1.06.02.1","Jadual ujian/Bahan habis pakai"
"mak162","1","1.06","1.06.02","2","650.1.1.06.02.2","Jadual ujian/Honor/Upah"
"mak163","1","1.06","1.06.02","3","650.1.1.06.02.3","Jadual ujian/Sewa"
"mak164","1","1.06","1.06.02","4","650.1.1.06.02.4","Jadual ujian/Outsourcing"
"mak165","1","1.06","1.06.02","5","650.1.1.06.02.5","Jadual ujian/Overhead"
"mak166","1","1.06","1.06.03","1","650.1.1.06.03.1","KPU/Bahan habis pakai"
"mak167","1","1.06","1.06.03","2","650.1.1.06.03.2","KPU/Honor/Upah"
"mak168","1","1.06","1.06.03","3","650.1.1.06.03.3","KPU/Sewa"
"mak169","1","1.06","1.06.03","4","650.1.1.06.03.4","KPU/Outsourcing"
"mak170","1","1.06","1.06.03","5","650.1.1.06.03.5","KPU/Overhead"
"mak171","1","1.06","1.06.04","1","650.1.1.06.04.1","Naskah ujian & lembar jawab/Bahan habis pakai"
"mak172","1","1.06","1.06.04","2","650.1.1.06.04.2","Naskah ujian & lembar jawab/Honor/Upah"
"mak173","1","1.06","1.06.04","3","650.1.1.06.04.3","Naskah ujian & lembar jawab/Sewa"
"mak174","1","1.06","1.06.04","4","650.1.1.06.04.4","Naskah ujian & lembar jawab/Outsourcing"
"mak175","1","1.06","1.06.04","5","650.1.1.06.04.5","Naskah ujian & lembar jawab/Overhead"
"mak176","1","1.06","1.06.05","1","650.1.1.06.05.1","Daftar hadir & daftar nilai peserta ujian/Bahan habis pakai"
"mak177","1","1.06","1.06.05","2","650.1.1.06.05.2","Daftar hadir & daftar nilai peserta ujian/Honor/Upah"
"mak178","1","1.06","1.06.05","3","650.1.1.06.05.3","Daftar hadir & daftar nilai peserta ujian/Sewa"
"mak179","1","1.06","1.06.05","4","650.1.1.06.05.4","Daftar hadir & daftar nilai peserta ujian/Outsourcing"
"mak180","1","1.06","1.06.05","5","650.1.1.06.05.5","Daftar hadir & daftar nilai peserta ujian/Overhead"
"mak181","1","1.06","1.06.06","1","650.1.1.06.06.1","Nilai akhir/Bahan habis pakai"
"mak182","1","1.06","1.06.06","2","650.1.1.06.06.2","Nilai akhir/Honor/Upah"
"mak183","1","1.06","1.06.06","3","650.1.1.06.06.3","Nilai akhir/Sewa"
"mak184","1","1.06","1.06.06","4","650.1.1.06.06.4","Nilai akhir/Outsourcing"
"mak185","1","1.06","1.06.06","5","650.1.1.06.06.5","Nilai akhir/Overhead"
"mak186","1","1.06","1.06.07","1","650.1.1.06.07.1","Vakasi ujian/Bahan habis pakai"
"mak187","1","1.06","1.06.07","2","650.1.1.06.07.2","Vakasi ujian/Honor/Upah"
"mak188","1","1.06","1.06.07","3","650.1.1.06.07.3","Vakasi ujian/Sewa"
"mak189","1","1.06","1.06.07","4","650.1.1.06.07.4","Vakasi ujian/Outsourcing"
